x samme_f1 samme_botf1 samme_topf1 adaf1_f1 adaf1_botf1 adaf1_topf1 pw_f1 pw_botf1 pw_topf1 dist_f1 dist_botf1 dist_topf1
1 0.27795000000000003 0.2717466742790661 0.28415332572093394 0.28104999999999997 0.276686085472881 0.28541391452711895 0.28035 0.27610515017933496 0.284594849820665 0.3759 0.35912520491928446 0.39267479508071557
10 0.4851 0.4491966575372152 0.5210033424627847 0.4854 0.4472565208718449 0.5235434791281551 0.4704499999999999 0.4355539937815227 0.5053460062184771 0.51675 0.5010965259446984 0.5324034740553016
20 0.5636 0.5417349308256297 0.5854650691743702 0.5404 0.5142378852154493 0.5665621147845507 0.5193000000000001 0.49913552009101164 0.5394644799089886 0.532 0.5114786696337689 0.5525213303662312
30 0.6162500000000001 0.5918426496726908 0.6406573503273093 0.5774999999999999 0.5506456474663788 0.604354352533621 0.5574 0.5318139930821553 0.5829860069178447 0.5415000000000001 0.5235147629985035 0.5594852370014967
40 0.63825 0.6247037828158559 0.651796217184144 0.5924 0.5644365193511252 0.6203634806488749 0.5811499999999999 0.559419692823156 0.6028803071768439 0.5476500000000001 0.526310775552987 0.5689892244470132
50 0.65765 0.6429184437346219 0.672381556265378 0.60665 0.5766163730129044 0.6366836269870957 0.5980000000000001 0.5792558342410232 0.616744165758977 0.5527 0.5339463336917818 0.5714536663082181
60 0.6574500000000001 0.6447473920000656 0.6701526079999346 0.6194 0.5933090532942937 0.6454909467057062 0.619 0.6021848282791997 0.6358151717208003 0.56415 0.5443158438546027 0.5839841561453973
70 0.6686 0.6514749087593671 0.6857250912406329 0.6344 0.6163128844201182 0.6524871155798817 0.6169499999999999 0.6052380936649919 0.6286619063350078 0.5694000000000001 0.552243915073654 0.5865560849263463
80 0.6895499999999999 0.676397766349399 0.7027022336506008 0.6411 0.616110252102112 0.666089747897888 0.63225 0.6178918577106925 0.6466081422893074 0.5763499999999999 0.554672967223349 0.5980270327766508
90 0.6956 0.6858795319042754 0.7053204680957246 0.6457 0.6367497905052452 0.6546502094947549 0.6409499999999999 0.6300607851522709 0.6518392148477289 0.5803 0.5619276362435315 0.5986723637564686
100 0.70615 0.6916957618671894 0.7206042381328107 0.6405000000000001 0.6255825186442215 0.6554174813557786 0.6484 0.6341647005651444 0.6626352994348556 0.5806500000000001 0.5690571681630415 0.5922428318369587
110 0.71715 0.7066193898562333 0.7276806101437666 0.6498000000000002 0.6363773046670947 0.6632226953329056 0.6436999999999999 0.6214588500746926 0.6659411499253073 0.58645 0.5732918276345079 0.5996081723654921
120 0.7174 0.7081287406464926 0.7266712593535075 0.65515 0.6368780953373766 0.6734219046626234 0.6567999999999999 0.6414078347851901 0.6721921652148097 0.58785 0.5737825286565069 0.601917471343493
130 0.7161000000000002 0.697475755048862 0.7347242449511384 0.65355 0.6342097892979419 0.672890210702058 0.6593 0.6383063997846963 0.6802936002153037 0.5900000000000001 0.5782009004580859 0.6017990995419142
140 0.7187500000000001 0.7031735755065549 0.7343264244934453 0.65855 0.6422008792285334 0.6748991207714665 0.6673 0.6466758333501691 0.6879241666498309 0.5890500000000001 0.5774385832044492 0.600661416795551
150 0.72585 0.7180325515671672 0.7336674484328328 0.6691499999999999 0.6613987904169736 0.6769012095830262 0.6632499999999999 0.6425354218000944 0.6839645781999054 0.59375 0.5806565856248265 0.6068434143751735
160 0.7274500000000002 0.7148275992774751 0.7400724007225252 0.6672499999999999 0.6613683548219906 0.6731316451780092 0.6668999999999999 0.6430871883222496 0.6907128116777502 0.5942000000000001 0.5834247389822799 0.6049752610177203
170 0.7325999999999999 0.7210503787940902 0.7441496212059097 0.6771499999999999 0.6722268404454049 0.6820731595545949 0.68585 0.6686284655155238 0.7030715344844761 0.5878 0.5762736714431698 0.5993263285568302
180 0.7367000000000001 0.7256625637034683 0.747737436296532 0.6709 0.6653869473066186 0.6764130526933815 0.68765 0.6575213176524428 0.7177786823475572 0.5915 0.5782866071730234 0.6047133928269767
190 0.7371000000000001 0.7291635335318545 0.7450364664681457 0.6792 0.6678581527077817 0.6905418472922183 0.69485 0.6695378240761486 0.7201621759238513 0.5918 0.5831842440842373 0.6004157559157627
200 0.7388999999999999 0.7263393969093836 0.7514606030906161 0.68255 0.6748335403195507 0.6902664596804493 0.6957000000000001 0.6755820664580082 0.715817933541992 0.59135 0.5841440996398785 0.5985559003601216
210 0.7441 0.7353204071848406 0.7528795928151594 0.6835 0.6785787450787427 0.6884212549212573 0.70085 0.6904492788711551 0.7112507211288448 0.59785 0.5860806011198532 0.6096193988801468
220 0.74055 0.7301315668164545 0.7509684331835456 0.68285 0.6702620593423705 0.6954379406576294 0.7112 0.7025625090448673 0.7198374909551328 0.5967999999999999 0.5820379286683744 0.6115620713316253
230 0.7464 0.7396857427812155 0.7531142572187844 0.6895 0.6822737457836027 0.6967262542163973 0.7122499999999999 0.7016022302804764 0.7228977697195235 0.5965499999999999 0.5773037341284081 0.6157962658715918
240 0.7454000000000001 0.7349333864120243 0.7558666135879758 0.68965 0.6828066638252969 0.6964933361747031 0.7130500000000001 0.7041172652563731 0.7219827347436271 0.5998 0.5795628126954361 0.6200371873045639
