x samme_f1 samme_botf1 samme_topf1 adaf1_f1 adaf1_botf1 adaf1_topf1 pw_f1 pw_botf1 pw_topf1 dist_f1 dist_botf1 dist_topf1
1 0.7885 0.7885 0.7885 0.7921 0.7878367852505416 0.7963632147494585 0.7874000000000001 0.7790229480125763 0.7957770519874239 0.8126 0.8024918349835393 0.8227081650164607
10 0.8233999999999998 0.8228522774424947 0.8239477225575049 0.8105 0.7952111151485793 0.8257888848514207 0.8076000000000001 0.7932760689753128 0.8219239310246874 0.8172 0.8079628467588764 0.8264371532411237
20 0.8400000000000001 0.8358920808187114 0.8441079191812888 0.8170999999999999 0.808372170945762 0.8258278290542379 0.8095000000000001 0.7914965281126113 0.8275034718873889 0.8097 0.8018450652453378 0.8175549347546621
30 0.8426 0.8330973687854363 0.8521026312145638 0.8205 0.8080501004020113 0.8329498995979887 0.8236000000000001 0.8008008772098575 0.8463991227901427 0.8083 0.8037092484275449 0.8128907515724552
40 0.8466999999999999 0.8444472239347861 0.8489527760652137 0.8227 0.812101651071983 0.833298348928017 0.8262 0.8126049641412757 0.8397950358587244 0.8077 0.7981501308909493 0.8172498691090506
50 0.8375999999999999 0.8275850112331564 0.8476149887668434 0.8210999999999998 0.8133025645241526 0.828897435475847 0.8253999999999999 0.8137252409018428 0.837074759098157 0.8084999999999999 0.7995837227499364 0.8174162772500634
60 0.8442000000000001 0.8358738364176531 0.852526163582347 0.8293000000000001 0.8170290994625498 0.8415709005374505 0.8352 0.8224495098133445 0.8479504901866556 0.8055 0.7942361196739313 0.8167638803260687
70 0.8417 0.8379483337035393 0.8454516662964607 0.8286 0.8247044897638435 0.8324955102361565 0.8343999999999999 0.8169952592665102 0.8518047407334897 0.8073 0.7946677001302217 0.8199322998697783
80 0.8412999999999998 0.8368897845857598 0.8457102154142399 0.8299 0.8204766248084882 0.8393233751915118 0.8351999999999998 0.8210906059662363 0.8493093940337634 0.8096 0.7976762841362267 0.8215237158637733
90 0.8398 0.8337729775178783 0.8458270224821217 0.8273999999999999 0.8161895138374823 0.8386104861625175 0.8389 0.8217120681872425 0.8560879318127574 0.8042 0.7884258122237625 0.8199741877762375
100 0.8423 0.8364626204509216 0.8481373795490785 0.8289 0.816106446936054 0.8416935530639459 0.8421 0.8283186720523745 0.8558813279476254 0.8095000000000001 0.7977154762506075 0.8212845237493928
110 0.842 0.8326258333703737 0.8513741666296263 0.8321 0.8178548253783956 0.8463451746216043 0.8414999999999999 0.8232038255364679 0.859796174463532 0.8107 0.8008346566202691 0.8205653433797309
120 0.8414999999999999 0.8342629425869348 0.848737057413065 0.8351 0.8284629825975819 0.841737017402418 0.8462 0.8340006147695878 0.8583993852304121 0.8097 0.8021121808139624 0.8172878191860375
130 0.8465999999999999 0.8447493244476677 0.8484506755523321 0.8321999999999999 0.8200365301003373 0.8443634698996626 0.8459999999999999 0.8341151356759952 0.8578848643240046 0.8076000000000001 0.8004901476808587 0.8147098523191415
140 0.8452999999999999 0.8416668195750829 0.8489331804249169 0.8325000000000001 0.8249171245559486 0.8400828754440517 0.8474 0.8335102555819051 0.861289744418095 0.8118000000000001 0.8038266067449299 0.8197733932550703
150 0.8463 0.8421376689223465 0.8504623310776536 0.8357999999999999 0.8266854511905414 0.8449145488094584 0.8486 0.8385600796815912 0.8586399203184089 0.8087 0.8000354169171275 0.8173645830828724
160 0.8474999999999999 0.8404024652167107 0.8545975347832891 0.8366 0.8258855238112169 0.8473144761887831 0.8507999999999999 0.8356978478354904 0.8659021521645094 0.8099999999999999 0.8022701875831298 0.81772981241687
170 0.8451000000000001 0.838462982597582 0.8517370174024181 0.8370999999999998 0.8285530707268631 0.8456469292731366 0.8484999999999999 0.834278537346672 0.8627214626533278 0.8138 0.806609728795101 0.820990271204899
180 0.8477 0.840054740030581 0.855345259969419 0.8362 0.8264237532764358 0.8459762467235643 0.8493999999999999 0.8335909835853079 0.865209016414692 0.8120999999999998 0.8071452043432649 0.8170547956567348
190 0.8457000000000001 0.8391178271064945 0.8522821728935057 0.8349 0.8243976193175071 0.8454023806824928 0.8533000000000002 0.8403549237159453 0.866245076284055 0.8119 0.8056911353694898 0.8181088646305101
200 0.8475999999999999 0.8418837949651887 0.8533162050348111 0.8348999999999999 0.8277463296134081 0.8420536703865916 0.8562 0.8440880224570881 0.8683119775429118 0.8118000000000001 0.8089146923907494 0.8146853076092507
210 0.8468 0.8410816086178017 0.8525183913821983 0.8360999999999998 0.8293232013457679 0.8428767986542318 0.8559000000000001 0.8452733824760653 0.8665266175239349 0.8119 0.8080044897638434 0.8157955102361565
220 0.8513999999999999 0.8453854343465217 0.8574145656534782 0.8387 0.8304719990277103 0.8469280009722897 0.8551 0.8428913964762549 0.8673086035237451 0.8134 0.8092557268429796 0.8175442731570204
230 0.8487 0.8419121431953819 0.8554878568046181 0.8382 0.8294779016286217 0.8469220983713782 0.8532 0.8377784242050301 0.8686215757949698 0.812 0.8096547921200884 0.8143452078799117
240 0.8497 0.8436937532518219 0.8557062467481781 0.8374 0.8282868227275006 0.8465131772724994 0.8487 0.8271982558846962 0.8702017441153038 0.8112999999999999 0.8061207143349685 0.8164792856650314
250 0.8503000000000001 0.8448847437733752 0.8557152562266249 0.8396000000000001 0.8314498466272101 0.8477501533727901 0.8460000000000001 0.8210625783209251 0.8709374216790751 0.8132999999999999 0.8113764615938328 0.815223538406167
