x samme_f1 samme_botf1 samme_topf1 adaf1_f1 adaf1_botf1 adaf1_topf1 pw_f1 pw_botf1 pw_topf1 dist_f1 dist_botf1 dist_topf1
1 0.46767676767676775 0.4316797380177668 0.5036737973357687 0.3616161616161616 0.32457147308910655 0.39866085014321667 0.3868686868686869 0.3325199957482239 0.44121737798914995 0.4717171717171717 0.42907104680285946 0.514363296631484
10 0.5878787878787879 0.536921219169174 0.6388363565884018 0.5141414141414142 0.4433982775963915 0.584884550686437 0.5242424242424242 0.49182463326084597 0.5566602152240023 0.5777777777777778 0.5382351936746195 0.6173203618809362
20 0.6989898989898989 0.6853441857716097 0.7126356122081882 0.5535353535353535 0.5017091978490291 0.605361509221678 0.5717171717171716 0.5377621488606633 0.6056721945736799 0.6202020202020202 0.5734473260160279 0.6669567143880125
30 0.7343434343434343 0.7159246641123126 0.752762204574556 0.5979797979797981 0.5743987524647904 0.6215608434948057 0.6080808080808081 0.5319370114354166 0.6842246047261996 0.6202020202020202 0.5977855141200281 0.6426185262840123
40 0.7696969696969698 0.7430678256031029 0.7963261137908366 0.6434343434343435 0.6117728726895809 0.675095814179106 0.6444444444444445 0.5771949261984682 0.7116939626904207 0.6484848484848484 0.6166226054634596 0.6803470915062373
50 0.7848484848484848 0.770298120918295 0.7993988487786746 0.6676767676767676 0.622026236208175 0.7133272991453603 0.6737373737373737 0.5827862050241741 0.7646885424505734 0.6414141414141413 0.616161616161616 0.6666666666666666
60 0.7919191919191919 0.7617426883913341 0.8220956954470497 0.6787878787878788 0.6364418710782737 0.721133886497484 0.6747474747474748 0.5928731954377396 0.7566217540572099 0.6505050505050505 0.6214043226446708 0.6796057783654301
70 0.790909090909091 0.7642799468152242 0.8175382350029579 0.6919191919191919 0.6640268661182139 0.7198115177201699 0.703030303030303 0.6481213013134267 0.7579393047471793 0.6717171717171717 0.6524854214498386 0.6909489219845049
80 0.795959595959596 0.7655305649870868 0.8263886269321051 0.697979797979798 0.6882649575446105 0.7076946384149856 0.7151515151515151 0.665589614443042 0.7647134158599882 0.6646464646464647 0.6257542963471143 0.7035386329458151
90 0.807070707070707 0.7804895002688065 0.8336519138726076 0.7121212121212122 0.6953705818668919 0.7288718423755324 0.7151515151515152 0.679870203643287 0.7504328266597434 0.6676767676767676 0.634674122721809 0.7006794126317263
