x samme_f1 samme_botf1 samme_topf1 adaf1_f1 adaf1_botf1 adaf1_topf1 pw_f1 pw_botf1 pw_topf1 dist_f1 dist_botf1 dist_topf1
1 0.46767676767676775 0.4316797380177668 0.5036737973357687 0.396969696969697 0.36963157858035484 0.4243078153590391 0.4232323232323232 0.3722997889475607 0.47416485751708565 0.4707070707070707 0.44664418333419875 0.4947699580799426
10 0.5878787878787879 0.536921219169174 0.6388363565884018 0.5171717171717172 0.48099797054652527 0.5533454637969091 0.5272727272727273 0.49403902247199577 0.5605064320734588 0.5303030303030303 0.4954948263836106 0.56511123422245
20 0.6989898989898989 0.6853441857716097 0.7126356122081882 0.593939393939394 0.5628880279819407 0.6249907598968473 0.6282828282828283 0.5897199814771292 0.6668456750885274 0.6131313131313131 0.5860274588585883 0.6402351674040379
30 0.7343434343434344 0.7159246641123127 0.7527622045745561 0.6383838383838384 0.6161960781449608 0.660571598622716 0.6505050505050505 0.6244080592267398 0.6766020417833611 0.6141414141414141 0.5660156393956703 0.6622671888871579
40 0.7696969696969698 0.7430678256031029 0.7963261137908366 0.6585858585858586 0.6339468466310092 0.683224870540708 0.6828282828282829 0.6528638444965832 0.7127927211599826 0.6262626262626263 0.5753801977787629 0.6771450547464897
50 0.7848484848484848 0.770298120918295 0.7993988487786746 0.6686868686868687 0.6473787645356273 0.6899949728381101 0.7030303030303031 0.64376482661937 0.7622957794412363 0.6020202020202021 0.5400202382245499 0.6640201658158543
60 0.7919191919191919 0.7617426883913341 0.8220956954470497 0.6868686868686869 0.6657409084208566 0.707996465316517 0.7323232323232324 0.6806943224740888 0.783952142172376 0.6060606060606061 0.5679301291147942 0.6441910830064179
70 0.7909090909090909 0.7642799468152242 0.8175382350029576 0.7090909090909092 0.6760496419519271 0.7421321762298914 0.7434343434343434 0.7031251112338689 0.783743575634818 0.6131313131313132 0.5684407640290325 0.6578218622335938
80 0.795959595959596 0.7655305649870868 0.8263886269321051 0.7363636363636363 0.6986704885716256 0.774056784155647 0.7565656565656566 0.7218675473993582 0.7912637657319549 0.6181818181818182 0.5655013947054331 0.6708622416582032
90 0.807070707070707 0.7804895002688065 0.8336519138726076 0.7414141414141413 0.7134305147935452 0.7693977680347374 0.7696969696969698 0.7275018210622114 0.8118921183317281 0.6262626262626262 0.5778198836029018 0.6747053689223506
100 0.805050505050505 0.7750435337828021 0.8350574763182079 0.7505050505050505 0.7209261606780882 0.7800839403320127 0.7707070707070706 0.7424513116551527 0.7989628297589885 0.6353535353535353 0.5851778415877988 0.6855292291192718
110 0.81010101010101 0.7746394147847636 0.8455626054172564 0.7575757575757576 0.7380152356252151 0.7771362795263 0.7777777777777779 0.7606506818607949 0.7949048736947609 0.6474747474747474 0.606072926198143 0.6888765687513518
120 0.8272727272727274 0.7990621413257194 0.8554833132197354 0.7595959595959595 0.7491230094175111 0.7700689097744079 0.7757575757575758 0.7580447697810605 0.793470381734091 0.6585858585858586 0.6149055589688088 0.7022661582029084
130 0.8242424242424242 0.7979022125042317 0.8505826359806168 0.7474747474747474 0.721475681462154 0.7734738134873408 0.7787878787878788 0.7662122226282942 0.7913635349474634 0.6626262626262627 0.6188293264875177 0.7064231987650077
140 0.8232323232323232 0.7920989191769243 0.8543657272877221 0.7585858585858587 0.7297050940293015 0.7874666231424159 0.7737373737373737 0.7597227909843317 0.7877519564904157 0.6666666666666666 0.6267389184322174 0.7065944149011159
150 0.8393939393939395 0.8197034457680626 0.8590844330198163 0.7646464646464647 0.733390407178251 0.7959025221146784 0.7868686868686867 0.7711389782804066 0.8025983954569669 0.6666666666666667 0.6409140428606426 0.6924192904726909
160 0.8454545454545455 0.8343894432827239 0.856519647626367 0.7686868686868686 0.7380906439780587 0.7992830933956786 0.7848484848484848 0.7635403806972434 0.8061565889997262 0.6757575757575758 0.6470984627088665 0.704416688806285
170 0.8424242424242424 0.8200077363422503 0.8648407485062345 0.7676767676767676 0.7321433149508326 0.8032102204027026 0.7818181818181819 0.751641678290324 0.8119946853460397 0.6757575757575758 0.6457931374258762 0.7057220140892754
180 0.8505050505050505 0.8266551132260251 0.8743549877840759 0.7696969696969698 0.7547147505311199 0.7846791888628196 0.7808080808080808 0.7598013794514289 0.8018147821647328 0.6797979797979797 0.6529304321651103 0.7066655274308492
190 0.8525252525252526 0.8325135224685263 0.8725369825819789 0.7717171717171716 0.7537186568876711 0.789715686546672 0.7777777777777778 0.7503465139111105 0.8052090416444451 0.685858585858586 0.6617956984857141 0.7099214732314578
200 0.8505050505050505 0.8288997478422148 0.8721103531678863 0.7868686868686868 0.7656205212444821 0.8081168524928916 0.7757575757575758 0.7402959804413294 0.8112191710738221 0.6818181818181819 0.6530258731035572 0.7106104905328066
210 0.8545454545454545 0.8355136932510941 0.8735772158398148 0.7929292929292929 0.763264292614973 0.8225942932436129 0.7777777777777779 0.7554753513476571 0.8000802042078987 0.6818181818181819 0.6475639899842158 0.7160723736521479
220 0.8505050505050505 0.8331559959219015 0.8678541050881996 0.7909090909090909 0.764763274534253 0.8170549072839288 0.7838383838383839 0.7698238010853419 0.7978529665914259 0.6919191919191918 0.6693326466919212 0.7145057371464625
